comment_text,original_line,field_count,clean_text,sentiment,confidence,topic,emotions,anger,disgust,fear,joy,neutral,sadness,surprise,anger_linguistic,disgust_linguistic,fear_linguistic,joy_linguistic,neutral_linguistic,sadness_linguistic,surprise_linguistic,anger_sentence_count,disgust_sentence_count,fear_sentence_count,joy_sentence_count,neutral_sentence_count,sadness_sentence_count,surprise_sentence_count,dominant_emotion
ALEC Ffoundation,1111,4,alec ffoundation,neutral,0.6481142640113831,-1,"{'anger': 0.012117939069867134, 'disgust': 0.005385067313909531, 'fear': 0.006676629651337862, 'joy': 0.030281128361821175, 'neutral': 0.8572872281074524, 'sadness': 0.02727496810257435, 'surprise': 0.06097706779837608}",0.012117939069867134,0.005385067313909531,0.006676629651337862,0.030281128361821175,0.8572872281074524,0.02727496810257435,0.06097706779837608,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@caffeinetococktails5341,1113,7,caffeinetococktails,neutral,0.7908304333686829,-1,"{'anger': 0.004315559286624193, 'disgust': 0.0016642033588141203, 'fear': 0.001108578871935606, 'joy': 0.13764645159244537, 'neutral': 0.766673743724823, 'sadness': 0.02897331677377224, 'surprise': 0.05961816757917404}",0.004315559286624193,0.0016642033588141203,0.001108578871935606,0.13764645159244537,0.766673743724823,0.02897331677377224,0.05961816757917404,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@Christian_Bagger,1119,7,christian_bagger,neutral,0.874808132648468,-1,"{'anger': 0.006533787585794926, 'disgust': 0.002189160557463765, 'fear': 0.002883091103285551, 'joy': 0.062102705240249634, 'neutral': 0.7695986032485962, 'sadness': 0.05823415517807007, 'surprise': 0.09845845401287079}",0.006533787585794926,0.002189160557463765,0.002883091103285551,0.062102705240249634,0.7695986032485962,0.05823415517807007,0.09845845401287079,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@b_to_the_b,1121,7,b_to_the_b,neutral,0.8307174444198608,-1,"{'anger': 0.02446279302239418, 'disgust': 0.015655837953090668, 'fear': 0.014178519137203693, 'joy': 0.04700974375009537, 'neutral': 0.6293873190879822, 'sadness': 0.06591715663671494, 'surprise': 0.20338855683803558}",0.02446279302239418,0.015655837953090668,0.014178519137203693,0.04700974375009537,0.6293873190879822,0.06591715663671494,0.20338855683803558,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
"just spitballing.,,XlnspY2wOVw",1124,2,spitballingxlnspywovw,neutral,0.5728573799133301,-1,"{'anger': 0.01100132241845131, 'disgust': 0.0028162032831460238, 'fear': 0.00648526893928647, 'joy': 0.09191317111253738, 'neutral': 0.5921874046325684, 'sadness': 0.06308974325656891, 'surprise': 0.23250693082809448}",0.01100132241845131,0.0028162032831460238,0.00648526893928647,0.09191317111253738,0.5921874046325684,0.06308974325656891,0.23250693082809448,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@CrackinUpHut,1139,7,crackinuphut,neutral,0.795630156993866,-1,"{'anger': 0.007603591773658991, 'disgust': 0.0034098876640200615, 'fear': 0.002356318524107337, 'joy': 0.03352433815598488, 'neutral': 0.8698137402534485, 'sadness': 0.02648720145225525, 'surprise': 0.056804899126291275}",0.007603591773658991,0.0034098876640200615,0.002356318524107337,0.03352433815598488,0.8698137402534485,0.02648720145225525,0.056804899126291275,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
they hold you down! Third! Don’t use months or years to teach my kids only on equality! We got it! Slavery is bad! Use the time,1143,4,hold third dont use months years teach kids equality got slavery bad use time,negative,0.8932676911354065,-1,"{'anger': 0.1493510603904724, 'disgust': 0.07880986481904984, 'fear': 0.005044888239353895, 'joy': 0.005372350569814444, 'neutral': 0.7159306406974792, 'sadness': 0.03702203556895256, 'surprise': 0.00846920907497406}",0.1493510603904724,0.07880986481904984,0.005044888239353895,0.005372350569814444,0.7159306406974792,0.03702203556895256,0.00846920907497406,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@teacherpat684,1144,7,teacherpat,neutral,0.7647536993026733,-1,"{'anger': 0.034417394548654556, 'disgust': 0.008801273070275784, 'fear': 0.007745688781142235, 'joy': 0.037679411470890045, 'neutral': 0.8139280676841736, 'sadness': 0.03785496950149536, 'surprise': 0.05957312509417534}",0.034417394548654556,0.008801273070275784,0.007745688781142235,0.037679411470890045,0.8139280676841736,0.03785496950149536,0.05957312509417534,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
"situations have changed. A lot of people know about stuff due to the internet.,,XlnspY2wOVw",1150,2,situations changed lot people know stuff due internetxlnspywovw,neutral,0.8259925842285156,-1,"{'anger': 0.014959815889596939, 'disgust': 0.0034974997397512197, 'fear': 0.0069883218966424465, 'joy': 0.0094662606716156, 'neutral': 0.557613730430603, 'sadness': 0.0166295375674963, 'surprise': 0.39084485173225403}",0.014959815889596939,0.0034974997397512197,0.0069883218966424465,0.0094662606716156,0.557613730430603,0.0166295375674963,0.39084485173225403,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
@ScottNelson-ph3tu,1154,7,scottnelsonphtu,neutral,0.8718703985214233,-1,"{'anger': 0.008694177493453026, 'disgust': 0.004752304404973984, 'fear': 0.006225008517503738, 'joy': 0.024827713146805763, 'neutral': 0.844768762588501, 'sadness': 0.03476693481206894, 'surprise': 0.0759650468826294}",0.008694177493453026,0.004752304404973984,0.006225008517503738,0.024827713146805763,0.844768762588501,0.03476693481206894,0.0759650468826294,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,neutral
